Sale_ID,Date,Customer_ID,Age,Gender,Location,Join_Date,Product_ID,Product_Name,Category,Brand,Price,Quantity,Sale_Price,Channel
3469,2023-01-01,2538,23,Male,Chicago,2022-07-08,106,Shirt,Clothing,Brand A,40.0,2,80.0,Online
206,2023-01-01,2044,18,Male,Miami,2021-05-25,111,Sandals,Footwear,Brand E,35.0,3,105.0,Online
1089,2023-01-01,2185,40,Female,San Diego,2022-03-26,113,Coat,Outerwear,Brand D,180.0,1,180.0,In-Store
3026,2023-01-01,2465,23,Female,Chicago,2022-10-19,106,Shirt,Clothing,Brand A,40.0,1,40.0,Online
3002,2023-01-01,2460,56,Female,San Diego,2021-04-05,101,T-shirt,Clothing,Brand A,25.0,1,25.0,In-Store
3899,2023-01-01,2600,58,Female,Houston,2022-04-14,110,Boots,Footwear,Brand D,110.0,1,110.0,In-Store
4033,2023-01-02,2618,21,Male,Houston,2021-01-08,109,Shorts,Clothing,Brand E,30.0,1,30.0,Online
4693,2023-01-02,2718,33,Male,Houston,2022-12-06,109,Shorts,Clothing,Brand E,30.0,1,30.0,In-Store
272,2023-01-02,2052,25,Male,Houston,2021-11-02,109,Shorts,Clothing,Brand E,30.0,2,60.0,Online
638,2023-01-02,2109,21,Female,New York,2022-04-01,111,Sandals,Footwear,Brand E,35.0,1,35.0,Online
2426,2023-01-02,2374,48,Female,San Diego,2021-06-29,116,Belt,Accessories,Brand A,20.0,1,20.0,In-Store
1925,2023-01-02,2307,52,Female,Dallas,2022-12-16,114,Parka,Outerwear,Brand B,150.0,2,300.0,In-Store
2526,2023-01-03,2392,40,Female,Dallas,2021-01-22,104,Jacket,Outerwear,Brand D,120.0,1,120.0,In-Store
4765,2023-01-03,2727,23,Female,San Diego,2021-10-09,101,T-shirt,Clothing,Brand A,25.0,1,25.0,Online
450,2023-01-04,2085,21,Male,Phoenix,2021-03-18,116,Belt,Accessories,Brand A,20.0,2,40.0,Online
954,2023-01-04,2167,25,Female,Phoenix,2022-09-25,102,Jeans,Clothing,Brand B,75.0,1,75.0,Online
489,2023-01-04,2088,26,Female,San Diego,2022-08-05,117,Scarf,Accessories,Brand E,18.0,1,18.0,Online
2830,2023-01-05,2431,42,Female,Phoenix,2021-03-15,112,Running Shoes,Footwear,Brand C,85.0,1,85.0,In-Store
1405,2023-01-05,2236,21,Male,Houston,2022-10-24,104,Jacket,Outerwear,Brand D,120.0,2,240.0,Online
4730,2023-01-05,2724,36,Male,Houston,2022-05-27,106,Shirt,Clothing,Brand A,40.0,1,40.0,Online
1727,2023-01-05,2286,43,Female,Phoenix,2022-03-11,104,Jacket,Outerwear,Brand D,120.0,2,240.0,Online
1980,2023-01-05,2316,24,Female,Los Angeles,2022-01-02,103,Sneakers,Footwear,Brand C,30.0,1,30.0,Online
1596,2023-01-06,2270,57,Male,Los Angeles,2021-11-23,109,Shorts,Clothing,Brand E,30.0,1,30.0,Online
4271,2023-01-06,2656,23,Female,New York,2021-01-22,110,Boots,Footwear,Brand D,110.0,1,110.0,Online
273,2023-01-06,2052,25,Male,Houston,2021-11-02,103,Sneakers,Footwear,Brand C,30.0,1,30.0,Online
2205,2023-01-06,2346,22,Male,San Diego,2022-11-25,101,T-shirt,Clothing,Brand A,25.0,1,25.0,Online
793,2023-01-06,2133,37,Female,Dallas,2021-08-01,113,Coat,Outerwear,Brand D,180.0,1,180.0,Online
3375,2023-01-06,2524,40,Male,Houston,2021-03-25,115,Blazer,Outerwear,Brand A,130.0,2,260.0,In-Store
4094,2023-01-06,2624,20,Male,San Antonio,2022-06-08,117,Scarf,Accessories,Brand E,18.0,1,18.0,In-Store
3694,2023-01-07,2566,23,Female,Miami,2022-12-17,103,Sneakers,Footwear,Brand C,30.0,2,60.0,In-Store
